rsllssrsrsrllslsr,17,10,7,6,7,1.166667,1.428571,0.4117647,0.4154061
rsllssrsrssllsr,15,8,7,5,6,1.4,1.333333,0.4666667,0.5488889
rsllssrsrsllr,13,8,5,4,5,1.25,1.6,0.3846154,0.4123077
rsllssrsrls,11,6,5,4,4,1.25,1.5,0.4545455,0.4606061
rsllssrssrl,11,6,5,3,4,1.666667,1.5,0.4545455,0.6272727
rsllssrslrrsl,13,8,5,4,5,1.25,1.6,0.3846154,0.4123077
rsllssrlrrsrlslslsr,19,12,7,6,7,1.166667,1.714286,0.368421,0.3556391
rsllssrlrrsrlsllrlr,19,14,5,4,5,1.25,2.8,0.2631579,0.191579
rsllssrlrrsrllrllsr,19,14,5,4,5,1.25,2.8,0.2631579,0.191579
rsllssrlrrsrllslr,17,12,5,4,5,1.25,2.4,0.2941177,0.2603922
rsllssrlrrssrllslsr,19,12,7,5,6,1.4,2,0.368421,0.4108772
rsllssrlrrsssllsr,17,10,7,4,5,1.75,2,0.4117647,0.572549
rsllssrlrrssllr,15,10,5,3,4,1.666667,2.5,0.3333333,0.4333333
rsllssrlrrsls,13,8,5,4,4,1.25,2,0.3846154,0.3589744
rsllssrlrrlrl,13,10,3,2,3,1.5,3.333333,0.2307692,0.2042735
rsllssrlrsrrlrlslslsr,21,14,7,6,7,1.166667,2,0.3333333,-1
rsllssrlrsrrlrlsllrlr,21,16,5,4,5,1.25,3.2,0.2380952,-1
rsllssrlrsrrlrllrllsr,21,16,5,4,5,1.25,3.2,0.2380952,-1
rsllssrlrsrrlrllslr,19,14,5,4,5,1.25,2.8,0.2631579,0.191579
rsllssrlrsrrlsrllslsr,21,14,7,6,7,1.166667,2,0.3333333,-1
rsllssrlrsrrlssllsr,19,12,7,5,6,1.4,2,0.368421,0.4108772
rsllssrlrsrrlsllr,17,12,5,4,5,1.25,2.4,0.2941177,0.2603922
rsllssrlrsrrlls,15,10,5,4,4,1.25,2.5,0.3333333,0.2666667
rsllssrlrsrsl,13,8,5,4,5,1.25,1.6,0.3846154,0.4123077
rsllsssrrssslslsr,17,8,9,5,6,1.8,1.333333,0.5294118,0.7402614
rsllsssrrssslsllrrs,19,10,9,5,5,1.8,2,0.4736842,0.6235088
